provincia,anio,poblacion,dpa_provin
Pastaza,2002,65175.0,16
Pichincha,2002,2171303.0,17
Tungurahua,2002,467959.0,18
Zamora,2002,82589.0,19
Galápagos,2002,19461.0,20
Sucumbíos,2002,136576.0,21
Orellana,2002,95956.0,22
Santo Domingo,2002,339761.0,23
Santa Elena,2002,245910.0,24
Azuay,2003,636968.0,01
Bolívar,2003,197061.0,02
Cañar,2003,216793.0,03
Carchi,2003,175921.0,04
Cotopaxi,2003,379395.0,05
Chimborazo,2003,459349.0,06
El Oro,2003,561634.0,07
Esmeraldas,2003,484341.0,08
Guayas,2003,3252114.0,09
Imbabura,2003,376059.0,10
Loja,2003,460227.0,11
Los Ríos,2003,691959.0,12
Manabí,2003,1298525.0,13
Morona Santiago,2003,132187.0,14
Napo,2003,92907.0,15
Pastaza,2003,67514.0,16
Pichincha,2003,2225879.0,17
Tungurahua,2003,473764.0,18
Zamora,2003,84223.0,19
Galápagos,2003,20357.0,20
Sucumbíos,2003,142222.0,21
Orellana,2003,101150.0,22
Santo Domingo,2003,348620.0,23
Santa Elena,2003,252584.0,24
Azuay,2004,646636.0,01
Bolívar,2004,198574.0,02
Cañar,2004,218333.0,03
Carchi,2004,174826.0,04
Cotopaxi,2004,384131.0,05
Chimborazo,2004,461903.0,06
El Oro,2004,570687.0,07
Esmeraldas,2004,492712.0,08
Guayas,2004,3321158.0,09
Imbabura,2004,382473.0,10
Loja,2004,462435.0,11
Los Ríos,2004,704081.0,12
Manabí,2004,1308827.0,13
Morona Santiago,2004,135093.0,14
Napo,2004,95063.0,15
Pastaza,2004,69882.0,16
Pichincha,2004,2281281.0,17
Tungurahua,2004,479833.0,18
Zamora,2004,85862.0,19
Galápagos,2004,21183.0,20
Sucumbíos,2004,147997.0,21
Orellana,2004,106369.0,22
Santo Domingo,2004,357561.0,23
Santa Elena,2004,259695.0,24
Azuay,2005,656724.0,01
Bolívar,2005,199935.0,02
Cañar,2005,219926.0,03
Carchi,2005,173907.0,04
Cotopaxi,2005,388825.0,05
Chimborazo,2005,464133.0,06
El Oro,2005,579521.0,07
Esmeraldas,2005,500681.0,08
Guayas,2005,3390632.0,09
Imbabura,2005,388853.0,10
Loja,2005,464756.0,11
Los Ríos,2005,717148.0,12
Manabí,2005,1320652.0,13
Morona Santiago,2005,138100.0,14
Napo,2005,97190.0,15
Pastaza,2005,72273.0,16
Pichincha,2005,2337494.0,17
Tungurahua,2005,485189.0,18
Zamora,2005,87486.0,19
Galápagos,2005,21943.0,20
Sucumbíos,2005,153561.0,21
Orellana,2005,111617.0,22
Santo Domingo,2005,366585.0,23
Santa Elena,2005,267220.0,24
Azuay,2006,667684.0,01
Bolívar,2006,201191.0,02
Cañar,2006,221557.0,03
Carchi,2006,173263.0,04
Cotopaxi,2006,393489.0,05
Chimborazo,2006,466131.0,06
El Oro,2006,588161.0,07
Esmeraldas,2006,508103.0,08
Guayas,2006,3463165.0,09
Imbabura,2006,395171.0,10
Loja,2006,467250.0,11
Los Ríos,2006,731901.0,12
Manabí,2006,1335085.0,13
Morona Santiago,2006,141207.0,14
Napo,2006,99291.0,15
Pastaza,2006,74684.0,16
Pichincha,2006,2396630.0,17
Tungurahua,2006,490016.0,18
Zamora,2006,89081.0,19
Galápagos,2006,22658.0,20
Sucumbíos,2006,158870.0,21
Orellana,2006,116918.0,22
Santo Domingo,2006,375704.0,23
Santa Elena,2006,275159.0,24
Azuay,2007,679102.0,01
Bolívar,2007,202387.0,02
Cañar,2007,223245.0,03
Carchi,2007,172791.0,04
Cotopaxi,2007,398204.0,05
Chimborazo,2007,468194.0,06
El Oro,2007,596717.0,07
Esmeraldas,2007,515070.0,08
Guayas,2007,3536878.0,09
Imbabura,2007,401491.0,10
Loja,2007,470011.0,11
Los Ríos,2007,746358.0,12
Manabí,2007,1351507.0,13
Morona Santiago,2007,144439.0,14
Napo,2007,101423.0,15
Pastaza,2007,77158.0,16
Pichincha,2007,2457556.0,17
Tungurahua,2007,495417.0,18
Zamora,2007,90651.0,19
Galápagos,2007,23355.0,20
Sucumbíos,2007,163941.0,21
Orellana,2007,122296.0,22
Santo Domingo,2007,385049.0,23
Santa Elena,2007,283546.0,24
Azuay,2008,690253.0,01
Bolívar,2008,203574.0,02
Cañar,2008,224996.0,03
Carchi,2008,172349.0,04
Cotopaxi,2008,403026.0,05
Chimborazo,2008,470532.0,06
El Oro,2008,605244.0,07
Esmeraldas,2008,521765.0,08
Guayas,2008,3608531.0,09
Imbabura,2008,407834.0,10
Loja,2008,473059.0,11
Los Ríos,2008,759674.0,12
Manabí,2008,1368603.0,13
Morona Santiago,2008,147818.0,14
Napo,2008,103580.0,15
Pastaza,2008,79723.0,16
Pichincha,2008,2517379.0,17
Tungurahua,2008,501259.0,18
Zamora,2008,92191.0,19
Galápagos,2008,24050.0,20
Sucumbíos,2008,168800.0,21
Orellana,2008,127734.0,22
Santo Domingo,2008,394740.0,23
Santa Elena,2008,292376.0,24
Azuay,2009,701608.0,01
Bolívar,2009,204794.0,02
Cañar,2009,226754.0,03
Carchi,2009,171859.0,04
Cotopaxi,2009,407973.0,05
Chimborazo,2009,473097.0,06
El Oro,2009,613956.0,07
Esmeraldas,2009,528305.0,08
Guayas,2009,3680997.0,09
Imbabura,2009,414105.0,10
Loja,2009,476310.0,11
Los Ríos,2009,774772.0,12
Manabí,2009,1387168.0,13
Morona Santiago,2009,151325.0,14
Napo,2009,105743.0,15
Pastaza,2009,82339.0,16
Pichincha,2009,2577041.0,17
Tungurahua,2009,507371.0,18
Zamora,2009,93682.0,19
Galápagos,2009,24743.0,20
Sucumbíos,2009,173440.0,21
Orellana,2009,132694.0,22
Santo Domingo,2009,404760.0,23
Santa Elena,2009,301557.0,24
Azuay,2010,713534.0,01
Bolívar,2010,206027.0,02
Cañar,2010,228397.0,03
Carchi,2010,171394.0,04
Cotopaxi,2010,413190.0,05
Chimborazo,2010,476054.0,06
El Oro,2010,623388.0,07
Esmeraldas,2010,534870.0,08
Guayas,2010,3757390.0,09
Imbabura,2010,420326.0,10
Loja,2010,479779.0,11
Los Ríos,2010,790954.0,12
Manabí,2010,1407769.0,13
Morona Santiago,2010,154863.0,14
Napo,2010,107920.0,15
Pastaza,2010,84980.0,16
Pichincha,2010,2637329.0,17
Tungurahua,2010,513731.0,18
Zamora,2010,95129.0,19
Galápagos,2010,25434.0,20
Sucumbíos,2010,177907.0,21
Orellana,2010,137128.0,22
Santo Domingo,2010,415122.0,23
Santa Elena,2010,311046.0,24
Azuay,2011,726056.0,01
Bolívar,2011,207184.0,02
Cañar,2011,229942.0,03
Carchi,2011,171128.0,04
Cotopaxi,2011,418810.0,05
Chimborazo,2011,479597.0,06
El Oro,2011,634041.0,07
Esmeraldas,2011,541579.0,08
Guayas,2011,3838066.0,09
Imbabura,2011,426549.0,10
Loja,2011,483442.0,11
Los Ríos,2011,805905.0,12
Manabí,2011,1430513.0,13
Morona Santiago,2011,158445.0,14
Napo,2011,110129.0,15
Pastaza,2011,87631.0,16
Pichincha,2011,2697956.0,17
Tungurahua,2011,520490.0,18
Zamora,2011,96698.0,19
Galápagos,2011,26047.0,20
Sucumbíos,2011,182295.0,21
Orellana,2011,141565.0,22
Santo Domingo,2011,426014.0,23
Santa Elena,2011,320505.0,24
Azuay,2012,738618.0,01
Bolívar,2012,208221.0,02
Cañar,2012,231463.0,03
Carchi,2012,171217.0,04
Cotopaxi,2012,424778.0,05
Chimborazo,2012,483513.0,06
El Oro,2012,645847.0,07
Esmeraldas,2012,548360.0,08
Guayas,2012,3919413.0,09
Imbabura,2012,432916.0,10
Loja,2012,486872.0,11
Los Ríos,2012,821167.0,12
Manabí,2012,1454264.0,13
Morona Santiago,2012,162242.0,14
Napo,2012,112423.0,15
Pastaza,2012,90291.0,16
Pichincha,2012,2757228.0,17
Tungurahua,2012,527377.0,18
Zamora,2012,98526.0,19
Galápagos,2012,26446.0,20
Sucumbíos,2012,186604.0,21
Orellana,2012,146050.0,22
Santo Domingo,2012,437329.0,23
Santa Elena,2012,329385.0,24
Azuay,2013,750773.0,01
Bolívar,2013,209135.0,02
Cañar,2013,232919.0,03
Carchi,2013,171853.0,04
Cotopaxi,2013,431025.0,05
Chimborazo,2013,487594.0,06
El Oro,2013,658347.0,07
Esmeraldas,2013,555119.0,08
Guayas,2013,3999190.0,09
Imbabura,2013,439391.0,10
Loja,2013,489889.0,11
Los Ríos,2013,836329.0,12
Manabí,2013,1478110.0,13
Morona Santiago,2013,166198.0,14
Napo,2013,114834.0,15
Pastaza,2013,92987.0,16
Pichincha,2013,2814805.0,17
Tungurahua,2013,534101.0,18
Zamora,2013,100449.0,19
Galápagos,2013,26718.0,20
Sucumbíos,2013,190537.0,21
Orellana,2013,150562.0,22
Santo Domingo,2013,448690.0,23
Santa Elena,2013,337959.0,24
Azuay,2014,762789.0,01
Bolívar,2014,209857.0,02
Cañar,2014,234252.0,03
Carchi,2014,173227.0,04
Cotopaxi,2014,437423.0,05
